permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
D199820011,F-305,2017,3820.31,3379.58,4013.26,7685.3,7809.2,11170.5,10565.26,10435.28,9492.89,8166.65,4929.24,5869.59,500,15000,
D199820012,F-304,2017,7119.67,7706.88,7616.36,10075.46,9012.44,12703.99,10141.61,10929.59,10237.93,7521.2,6761.07,6429.17,500,15000,
D199820019,F-308,2017,2643.04,2901.54,3273.31,3855.65,3788.85,4925.21,6683.85,5717.4,4738.6,4473.57,5263.58,4112.69,600,18000,
D199820025,F-307,2017,2947.75,2884.57,3199.18,5257.42,5607.41,7829.91,8104.09,10391.02,8552.63,7613.85,7971.42,6624.53,800,24000,
D199840018,F-333,2017,17584.75,17778.25,15978.81,18504.24,18125.71,20953.39,17765.54,17783.9,18368.64,18319.21,18579.1,17935.03,800,24000,
D199840019,F-349,2017,8943.93,8155.35,7886.47,7512.06,6012.97,11422.41,7904.54,9934.89,11085.58,9035.0,9913.92,7741.19,850,25500,
D199840020,R-006,2017,8276.62,8919.76,8125.43,8820.63,9096.35,9460.67,8462.5,9059.17,8418.51,8076.49,8059.14,7871.4,900,27000,
D199840023,S-007,2017,2834.96,1149.43,433.18,1728.43,291.65,3023.67,1706.98,999.31,1376.74,10233.32,5146.68,12073.25,1200,36000,
D199840025,F-336,2017,6861.81,6487.16,6216.65,12208.51,6695.44,7965.44,7205.98,11854.18,9251.95,6692.9,6377.94,9893.3,1000,30000,
D199840026,F-337,2017,3818.26,5989.7,7043.01,12220.44,11470.97,14894.24,15388.48,12186.01,9133.43,8242.17,7749.95,7452.18,800,24000,
D199840027,F-338,2017,5206.74,4657.83,6446.6,12924.77,11686.66,16347.99,14392.62,13654.31,11223.68,9536.62,8719.4,9278.83,1000,30000,
D199840053,F-335,2017,11110.4,10803.52,11112.64,13285.44,11264.96,12454.4,11038.72,11471.04,13565.44,24805.76,25632.32,25211.2,1000,30000,
D199840054,F-334,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,25500,
D199840058,F-386,2017,2518.38,14169.45,15615.65,19103.15,17258.0,23290.49,21014.8,12028.4,4744.2,6321.73,11614.49,4584.62,900,27000,
D199840059,F-341,2017,1399.6,2219.3,3753.35,6474.29,4420.54,7729.42,7350.18,7851.83,5975.65,3400.18,2914.59,2074.82,700,21000,
D199840060,F-342,2017,8123.61,9055.1,9417.89,13393.9,10315.07,12462.41,11815.27,12143.74,11709.86,10719.53,7635.8,6684.7,850,25500,
D199840061,F-343,2017,3030.24,6362.22,8617.78,11988.28,11746.46,15729.0,14507.06,15692.62,10954.66,5433.46,5405.64,3798.5,850,25500,
D199840062,F-344,2017,8003.5,11136.05,12908.46,13377.43,10760.6,20153.98,14122.66,13299.5,13387.34,13159.24,13847.8,10621.75,700,21000,
D199840063,F-345,2017,3372.12,4613.58,7034.94,9001.44,9483.66,13509.0,11792.16,13009.68,10345.5,7616.34,7353.0,7028.1,1050,31500,
D199840064,F-346,2017,5470.16,6710.27,8274.61,10198.27,10748.13,16702.97,12412.75,13637.81,11949.8,7134.78,8976.55,8306.36,1050,31500,
D199840065,F-347,2017,29297.12,21072.01,22514.71,29832.98,25800.28,27134.78,22997.33,21463.6,24596.32,21530.58,20924.3,21149.3,1050,31500,
D199840115,R-007,2017,571.92,1153.64,2764.81,2372.64,3222.35,5428.31,2705.99,4542.66,3156.98,1434.7,2473.95,1261.49,900,27000,
D199840116,F-356,2017,1404.85,1232.18,818.84,3042.52,792.68,3550.05,1506.87,2236.77,1669.07,8620.05,4044.49,4737.76,750,22500,
D199840117,F-354,2017,2399.65,1933.32,2185.92,5016.28,5314.21,6204.77,4151.63,4459.28,5246.21,9469.08,6347.26,8581.76,800,24000,
D199840118,F-355,2017,4235.78,4476.7,4765.01,5677.33,2138.63,3153.63,3467.61,5365.32,3449.84,4170.62,3050.95,6672.59,850,25500,
D199840119,F-351,2017,6090.34,6117.01,8303.91,6800.72,8873.67,10830.24,8257.85,8919.74,8890.64,7050.45,11947.94,5867.29,850,25500,
D199840120,F-352,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650,19500,
D199840121,F-350,2017,1007.37,1048.32,2132.13,1419.6,2705.43,2517.06,2377.83,2806.44,3491.67,3751.02,4714.71,1850.94,700,21000,
D199840136,F-340,2017,6127.35,5929.05,5250.83,9716.78,8506.97,10826.6,9241.85,17255.57,11886.43,8123.7,7325.49,7237.18,800,24000,
D199920008,F-364,2017,2296.67,3869.62,8578.69,9965.82,10386.36,16593.4,11061.18,16418.99,9977.23,7351.3,5721.3,5375.74,750,22500,
D199920009,F-365,2017,3908.3,3438.82,5241.72,8586.16,7509.26,10652.84,11630.52,15033.04,10810.14,8186.86,7712.54,7823.86,600,18000,
D199920027,S-011,2017,4267.93,6627.91,14388.84,19408.2,19232.09,19287.86,20602.87,22569.52,19496.26,15090.38,16693.05,11039.66,750,22500,
D199920028,S-010,2017,5059.62,6568.19,8610.67,8567.67,10595.82,13222.38,11154.81,12208.3,9803.91,6475.02,9072.92,6550.27,800,24000,
D199940023,F-391,2017,14216.07,15446.34,16251.22,18587.94,18210.47,16329.11,19370.84,14633.48,9999.98,17940.85,8767.71,9514.66,800,24000,
D199940024,F-395,2017,790.0,1180.0,1762.5,2995.0,2195.0,3050.0,2873.75,4318.75,2383.75,2117.5,1746.25,2570.0,900,27000,
D199940025,F-394,2017,2166.25,1986.92,3052.83,4939.33,3755.78,3758.65,3372.74,3942.28,3194.85,2094.52,2051.48,2087.34,1000,30000,
D199940036,F-392,2017,25321.08,25332.14,22878.4,25292.64,24156.62,26730.44,21796.1,24760.18,25150.44,24335.16,25096.72,24249.84,900,27000,
D199940037,R-010,2017,4905.15,4576.8,4944.51,4688.17,6238.73,5784.6,5085.65,6237.77,6391.39,5775.96,6016.95,4407.82,600,18000,
D199940040,F-384,2017,2784.31,2468.5,2364.2,5183.27,2506.16,4542.97,3085.62,3499.94,2523.55,10192.7,6811.55,7431.57,850,25500,
D199940041,F-383,2017,1175.08,770.24,675.6,998.95,885.91,2289.7,1963.72,1979.5,1519.45,4361.2,3596.21,4745.01,1000,30000,
D199940042,F-382,2017,5635.36,1850.95,2046.22,7519.32,1658.43,7766.85,1729.94,2742.05,6435.7,15800.47,11526.51,12027.06,1050,31500,
D199940050,F-387,2017,3607.28,3630.56,4599.29,6146.93,5349.83,8253.12,5213.11,5911.29,5349.83,3191.28,3627.65,4890.2,1000,30000,
D199940051,F-388,2017,4487.75,4761.8,6155.25,7961.95,6907.8,8984.2,8530.35,9436.6,6478.6,5740.55,6059.55,5359.2,900,27000,
D199940052,F-389,2017,14926.54,18614.82,16448.87,26656.19,29379.04,31762.74,24667.53,25384.37,21087.16,18849.91,13190.32,11766.26,700,21000,
D199940053,R-011,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,18000,
D199940058,F-390,2017,12971.16,14056.35,15598.78,20937.5,20975.44,24686.37,20449.92,27071.15,20045.82,15750.55,14111.37,14118.96,800,24000,
D199940059,F-393,2017,17295.76,18076.5,16537.68,18795.44,16776.64,18776.9,17783.98,20270.4,19701.84,17751.02,18787.2,15631.28,1000,30000,
D199940065,F-353,2017,10877.84,10729.2,10758.93,14495.86,13520.75,19778.7,16939.58,18473.6,20572.47,24811.82,19998.7,20857.87,900,27000,
D199940073,F-385,2017,5223.99,4284.96,4244.28,8468.22,4790.07,8336.01,6583.38,9044.52,9169.95,16160.13,11502.27,12658.26,1050,31500,
D199940098,F-396,2017,6417.44,8123.49,8013.5,10453.07,7901.13,7428.72,7601.23,5945.04,6447.51,5578.66,5218.62,5888.85,700,21000,
D199940112,S-015,2017,8179.63,5508.2,6103.89,10748.72,7513.08,15823.93,9680.67,9924.72,12853.33,24620.24,19720.86,18752.53,1300,39000,
D199940113,S-014,2017,6762.38,4305.31,4218.34,8521.84,4988.44,6644.6,2935.44,4082.44,5001.12,21053.63,8886.05,11937.46,850,25500,
D200020009,F-404,2017,4912.98,4995.93,5626.32,7999.87,7044.07,10421.91,10045.46,11920.05,11849.86,7128.29,4268.55,4613.1,600,18000,
D200020010,F-405,2017,3413.85,4484.7,4433.55,9347.25,7794.6,10198.65,9733.35,11328.9,11295.9,8301.15,5577.0,5961.45,614,18420,
D200020031,S-017,2017,1877.48,3440.8,5815.7,6859.16,7399.59,10763.72,8052.22,7861.48,8054.09,5170.55,3925.13,2993.87,700,21000,
D200020032,F-406,2017,4419.56,4096.55,5373.32,9395.66,7496.89,13586.06,12038.67,12158.71,11648.0,11410.11,8431.0,8241.12,600,18000,
D200040024,R-015,2017,2071.91,1504.55,1690.05,2514.0,2238.15,3842.67,2969.34,2762.15,2415.22,2206.83,2875.38,2670.6,800,24000,
D200040035,R-014,2017,5915.72,6252.15,7043.43,11798.83,10242.88,13858.57,15053.21,12895.64,11536.22,9334.02,8480.95,9463.61,700,21000,
D200040037,F-428,2017,2566.37,1177.85,1340.64,5764.75,1230.52,5183.01,1436.4,6186.1,3490.45,14814.07,8393.36,11132.1,900,27000,
D200040038,F-427,2017,2085.94,1073.2,737.64,5115.09,707.41,4241.41,2442.66,1977.11,3400.99,10940.6,9153.95,10088.08,1000,30000,
D200040039,F-425,2017,2651.55,3646.49,5401.12,8251.17,7092.04,13081.3,11005.64,13630.24,9782.8,8025.72,7900.73,6805.32,850,25500,
D200040040,F-424,2017,9258.58,10597.43,10829.18,17158.17,16683.34,27606.98,22550.09,22550.09,23016.1,20927.85,20188.53,17882.38,600,18000,
D200040041,F-431,2017,14194.25,14943.17,15629.42,16861.31,17299.96,19476.4,15103.65,15103.65,17590.36,17072.23,16768.08,14771.99,600,18000,
D200040042,F-430,2017,5685.68,5748.16,5600.48,7159.64,5716.92,9176.04,6103.16,7259.04,5609.0,5623.2,6705.24,7724.8,700,21000,
D200040091,F-432,2017,13375.71,13654.09,15882.25,16485.03,18844.53,24284.17,19809.88,23981.09,21958.35,20111.83,21930.28,14018.9,700,21000,
D200040092,F-426,2017,679.84,1442.82,5340.86,101.08,415.73,1780.29,430.4,596.69,5652.25,6775.53,10081.78,4038.25,800,24000,
W200040109,F-429,2017,3164.29,551.51,666.3,4484.41,1649.53,6371.01,3269.1,3950.38,4604.2,12906.73,7761.0,8280.07,800,24000,
W200040110,S-019,2017,2175.41,2894.83,4092.32,4234.03,5283.58,6350.26,5747.63,5325.62,5372.34,3394.7,3182.92,3173.57,800,24000,
W200120019,F-441,2017,6044.46,6415.05,7868.89,9244.35,9681.11,13401.25,11246.95,16356.79,11520.82,7816.97,8382.02,7396.5,700,21000,
W200120020,F-440,2017,339.69,317.58,556.77,1324.59,1089.42,2337.63,1720.56,2842.14,1913.52,1288.41,721.59,952.74,500,15000,
W200120021,F-468,2017,4338.81,8380.8,9239.25,9518.61,12187.08,14424.87,11599.26,12649.77,11241.33,7807.53,8892.96,7071.3,800,24000,
W200140097,F-462,2017,2268.4,3158.8,4258.55,5888.3,6569.35,8336.9,5668.35,8819.2,5750.5,3492.7,4987.3,2803.7,800,24000,
W200140127,F-461,2017,3655.06,3187.96,3682.31,4912.34,4203.9,6644.5,4067.66,4044.31,5383.33,11074.16,5348.3,7695.47,850,25500,
W200140128,F-459,2017,5724.59,10015.09,10984.86,16521.37,15401.73,18887.02,20567.96,18037.74,16233.38,8998.3,10000.4,9283.35,700,21000,
W200140129,F-467,2017,0.0,0.0,0.0,0.0,0.0,0.0,94.09,6.72,3.36,0.0,0.0,0.0,500,15000,
W200140141,F-464,2017,2371.58,1220.71,1205.53,12948.06,1739.97,6638.01,1132.65,965.64,4421.29,15447.18,17402.75,16768.11,900,27000,
W200140142,F-465,2017,4884.24,39.48,3429.12,7797.3,609.12,8417.7,1768.14,11897.58,8460.0,17337.36,12749.22,14046.42,850,25500,
W200140143,F-460,2017,3338.88,3262.91,4064.4,5663.56,5165.96,6772.73,5864.88,7205.75,6100.39,10867.51,7076.61,8804.92,900,27000,
W200140156,F-463,2017,792.34,394.18,374.27,1604.58,469.83,2154.05,1174.57,1114.85,1799.68,5864.9,4112.99,6601.49,700,21000,
W200140157,F-466,2017,0.0,0.0,1805.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,25500,
W200140158,R-019,2017,2548.89,2453.0,2696.07,2604.64,2914.61,3249.11,3554.62,6600.8,7860.75,7303.25,7987.86,4252.61,850,25500,
W200140159,R-018,2017,2510.43,2698.31,4594.46,5270.04,6777.1,8963.73,6117.51,8567.98,7935.04,3651.05,4414.57,3086.07,600,18000,
W200220011,F-472,2017,2368.08,1969.11,2604.57,2993.89,4996.78,3354.25,3806.31,5151.22,3611.65,2857.14,2574.0,2216.86,800,24000,
W200220012,F-474,2017,4293.76,6655.41,13399.29,15006.44,15093.31,23677.61,18708.17,24602.64,20807.59,15014.48,13079.15,7562.74,700,21000,
W200220013,F-473,2017,9525.17,11718.6,13777.86,15445.3,19250.72,23854.07,17359.64,22916.58,19563.81,8669.98,10226.5,8888.25,600,18000,
W200220014,F-475,2017,2083.78,2182.71,4312.74,10472.87,10118.3,14770.2,13639.66,14723.95,12717.25,8207.95,6101.04,5107.97,700,21000,
W200240015,F-492,2017,7029.3,5815.71,5349.86,9862.97,3367.77,8272.55,3881.1,7450.64,11035.02,21218.45,15117.88,15444.28,900,27000,
W200240034,F-493,2017,1114.86,689.96,612.0,4319.09,179.31,3212.03,0.0,3.9,1952.95,9562.04,5726.31,7983.31,800,24000,
W200240035,R-022,2017,2311.3,2295.87,2133.16,2336.38,1984.61,1782.03,1501.64,5744.81,5020.68,2025.77,2234.77,1353.73,600,18000,
W200240046,R-023,2017,4347.73,5025.53,5294.8,9672.7,9723.77,36339.37,31174.56,36409.01,9222.38,8166.2,7400.19,8911.33,800,24000,
W200240051,F-491,2017,293.86,414.34,3808.43,367.32,1707.33,1769.04,0.0,863.95,4692.94,8286.85,10182.25,5565.71,700,21000,
W200240052,F-490,2017,1744.36,2547.07,2682.57,7310.18,7564.03,9498.78,9464.47,7445.68,4617.32,4653.34,2766.62,6042.65,900,27000,
W200320014,F-496,2017,1118.5,1197.5,2667.36,2522.87,3319.12,4845.11,3715.17,4030.14,3846.15,2620.58,2492.72,1676.71,500,15000,
W200320016,F-499,2017,2932.3,2834.38,3966.52,7109.42,6187.88,9298.58,11308.0,10688.28,10413.29,9660.76,7609.76,7373.68,700,21000,
W200320017,F-497,2017,891.36,2518.18,7303.73,11336.87,10606.5,10738.68,8478.08,13558.49,11130.13,7908.7,6275.1,3214.66,550,16500,
W200320018,F-498,2017,3582.09,3590.99,4840.12,15470.57,12637.77,19983.07,13693.88,22195.28,15977.35,11392.6,8996.29,5419.15,800,24000,
W200320019,F-403-1,2017,6885.73,6197.45,6410.6,9952.63,9792.78,5445.53,5204.26,12286.86,15294.55,15398.16,15364.12,13528.72,500,15000,
W200320020,F-500,2017,2973.22,1304.92,1661.84,3154.09,2614.68,2212.55,1232.24,1608.54,1865.33,773.59,1348.53,1820.11,600,18000,
W200340023,F-520,2017,1191.8,695.83,811.81,3390.34,1438.55,3590.21,1732.18,2558.8,2262.7,9193.9,6985.49,7851.58,800,24000,
W200340024,F-516,2017,6379.05,8627.95,10685.5,15576.75,18012.7,23241.5,20313.2,24705.65,19160.8,13800.85,12822.6,11152.05,700,21000,
W200340028,F-518,2017,4697.83,2366.06,2989.25,5444.77,6412.36,6498.83,4198.37,5917.38,5054.15,3995.61,5820.47,4386.23,800,24000,
W200340029,F-514,2017,9327.09,17201.91,16114.66,2793.21,3269.53,3952.94,3059.84,3243.64,3145.27,2355.72,2407.49,1781.03,800,24000,
W200340031,F-515,2017,20855.92,23765.94,22503.47,23130.05,22169.67,21749.16,16389.73,18151.96,18126.79,14663.85,20430.75,20530.52,700,21000,
W200340032,R-026,2017,4688.01,7809.77,9658.84,17114.19,16142.22,20525.93,20762.21,19874.37,15497.82,13147.55,10358.73,9501.32,800,24000,
W200340033,F-519,2017,3423.48,2481.6,2650.8,5163.42,3809.82,5386.2,2616.96,2171.4,2597.22,11530.98,7836.78,10792.14,800,24000,
W200340034,F-521,2017,2644.84,1413.82,1336.7,3633.09,2025.05,5403.93,1516.64,4535.65,3153.24,9982.42,8237.28,8151.59,800,24000,
W200340035,F-522,2017,2359.0,1405.29,1236.79,3922.68,822.28,2217.46,367.33,303.3,825.65,10089.78,6204.17,9240.54,800,24000,
W200340036,F-517,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,24000,
W200340046,F-513,2017,4758.13,5270.85,5025.54,6554.86,7213.44,9240.01,8254.35,7520.63,7136.09,7220.07,9971.52,12495.34,800,24000,
W200340052,R-027,2017,989.3,1655.28,3185.8,2997.78,3792.04,5250.51,3971.27,4992.21,4677.67,3180.53,3452.9,1491.86,700,21000,
W200420001,F-526,2017,8605.24,8820.23,9170.62,7919.96,11481.75,12651.26,9476.04,12183.56,13994.94,8693.61,8424.36,5587.64,700,21000,
W200420002,F-525,2017,4385.0,4860.0,8997.5,10365.0,9037.5,15075.0,13187.5,16852.5,12002.5,8085.0,8677.5,4532.5,800,24000,
W200420003,F-524,2017,1871.51,1857.83,1965.14,4287.95,3679.9,5086.42,5278.94,6023.75,5531.42,2656.3,1852.57,3062.37,700,21000,
W200440020,R-029,2017,2819.88,2586.43,3814.14,4055.99,5139.27,6491.27,5119.12,5952.15,4749.63,3417.78,5532.27,3306.94,800,24000,
W200440021,F-531,2017,3997.25,1736.15,2323.99,6928.21,2805.19,8456.57,3887.89,5391.65,6080.64,15278.15,10211.86,12079.25,800,24000,
W200520002,F-539,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,600,18000,
W200520003,F-536,2017,6808.1,6236.1,7096.7,6273.8,10619.7,13302.9,10341.5,13980.2,11679.2,10741.9,10936.9,11685.7,700,21000,
W200520004,F-537,2017,1274.4,2246.4,2781.0,3731.4,3931.2,6420.6,4824.9,3871.8,3609.9,2756.7,2664.9,2459.7,700,21000,
W200520005,F-538,2017,3426.56,2652.06,3017.8,6688.84,5130.06,7721.5,7320.56,9530.61,8607.48,6127.52,3592.8,3037.36,600,18000,
W200540001,F-533,2017,640.29,246.51,284.93,3563.2,73.63,4664.49,35.22,32.01,1245.36,8403.76,6473.3,7635.42,800,24000,
W200540002,F-532,2017,1759.42,387.67,573.22,4247.78,738.89,4062.23,914.5,1925.09,6683.13,14250.93,12683.7,10629.39,800,24000,
W200540003,R-030,2017,2097.12,2320.71,3898.69,2518.6,4872.72,6571.49,3739.35,6782.23,5265.93,6383.88,7594.35,3834.44,700,21000,
W200540020,F-546,2017,8245.79,10042.84,11124.24,15992.02,14028.45,21246.37,23120.73,24969.32,18881.37,17531.35,18041.82,16788.95,800,24000,
W200540021,F-545,2017,9848.79,10959.85,12518.25,13746.0,13578.25,16442.21,15136.65,15785.78,12017.42,12396.69,14857.06,10624.34,800,24000,
W200540023,F-548,2017,1289.56,1963.18,4237.42,4033.48,4643.24,5547.58,4602.04,5700.02,4810.1,2813.96,2165.06,572.68,700,21000,
W200540024,F-550,2017,4584.58,4524.65,4777.69,18458.19,9315.66,17582.56,29898.01,1338.42,1847.82,4940.83,5826.45,6752.02,700,21000,
W200540025,F-549,2017,2467.2,2674.31,3353.52,3605.84,3338.14,3814.76,3515.4,4100.55,4185.56,2872.37,3220.57,3338.14,800,24000,
W200540027,F-547,2017,27053.03,29389.58,27943.21,26167.31,22797.43,20750.15,21297.38,25964.52,17110.37,12432.79,11855.74,20796.37,900,27000,
W200620002,F-556,2017,446.03,348.0,348.0,2239.93,188.7,1703.23,107.83,193.6,4011.78,9913.05,4575.44,5239.58,800,24000,
W200620003,F-557,2017,606.26,158.53,115.68,1874.46,526.99,2855.61,304.2,396.32,1816.62,3866.75,4965.72,6319.62,800,24000,
W200620004,F-559,2017,6489.35,6409.5,5235.44,6427.24,7450.47,10956.87,11454.69,9438.78,9129.25,7660.44,8.87,7.89,700,21000,
W200620006,F-558,2017,2365.5,1860.79,2002.22,3951.75,3557.96,8405.44,3488.63,3918.47,3646.7,10011.09,6087.08,8826.96,800,24000,
W200620008,F-555,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,9000,
W200620010,F-562,2017,2036.03,3014.92,3011.28,3271.47,2674.67,4781.66,3191.41,4099.34,3313.32,1930.49,2496.36,2665.57,900,27000,
W200620011,F-554,2017,3456.3,3116.29,2750.99,4184.09,2281.72,4268.39,2804.38,4869.73,2919.59,20706.89,7173.93,9126.88,600,18000,
W200620012,F-560,2017,2475.66,3427.98,6411.42,9504.6,8325.36,10285.8,9876.6,10185.36,8874.06,5118.72,5501.88,5509.32,900,27000,
W200620018,F-561,2017,4025.77,3399.89,3211.55,3307.84,2165.11,2201.93,2090.06,2141.04,2159.44,2373.27,2570.09,3159.16,900,27000,
W200720008,F-574,2017,3753.25,4925.9,7633.91,6229.85,7627.41,16678.37,8226.73,9741.29,8688.25,8443.84,12017.68,9843.99,600,18000,
W200720009,F-571,2017,3452.54,4428.17,8218.18,7895.85,9234.9,14491.59,11519.29,11536.6,11136.4,7837.44,8196.54,8365.28,700,21000,
W200720010,F-575,2017,2579.45,3158.19,4589.21,6693.92,6476.89,11547.63,8568.03,7767.75,3920.04,2161.22,1939.68,944.97,900,27000,
W200720011,F-576,2017,9964.2,13122.6,14576.4,16987.8,15910.8,18300.6,16491.0,17632.8,15813.0,15907.8,19417.2,15774.0,700,21000,
W200720012,F-573,2017,500.5,846.3,1126.58,1183.0,2224.04,3352.44,1441.44,1359.54,773.5,425.88,1068.34,707.98,800,24000,
W200720021,F-572,2017,1339.22,1267.21,1010.41,2412.03,1790.42,3679.24,2071.22,2853.63,2512.83,4704.05,3763.24,4346.45,800,24000,
W200720022,F-577,2017,5713.62,1783.35,2788.93,10612.65,9050.21,20808.8,13516.63,19842.34,15274.67,13038.0,10433.16,11431.84,800,24000,
W200820014,F-587,2017,2075.82,1088.99,857.24,3830.17,2432.17,5908.48,1629.75,2733.7,2838.36,10229.57,7306.48,7580.6,900,27000,
W200820015,F-588,2017,772.7,878.89,5575.78,2226.14,2659.42,3337.31,1607.98,3239.66,5868.74,4952.88,4430.47,3842.65,800,24000,
W200820016,F-589,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,24000,
W200820020,F-590,2017,5456.74,3416.11,4123.93,6045.33,6085.49,6448.19,4514.23,4287.08,17789.62,4322.22,3375.95,3102.36,800,24000,
W200820028,F-555-1,2017,6180.49,6471.44,8606.81,7643.57,7955.03,10142.05,13040.11,14732.6,12621.54,11012.61,10182.32,7697.51,800,24000,
W200920001,F-600,2017,1059.18,1379.22,2938.78,4234.18,4025.9,6555.74,6969.76,8780.78,8125.46,4112.26,3901.44,2776.22,600,18000,
W200920025,F-601,2017,3132.98,17892.14,14285.55,18316.56,27392.37,26048.7,20249.59,14397.44,7643.39,7729.24,8316.68,8413.14,800,24000,
W200920026,F-602,2017,2597.0,4062.47,5079.34,8316.46,9361.06,12560.38,8295.04,10164.99,7686.43,6591.43,6392.34,6859.82,850,25500,
W200920034,F-603,2017,10115.97,9119.0,5682.36,24080.29,26955.5,31851.86,28952.83,31072.66,31157.73,32443.91,31283.62,31225.78,950,28500,
W200920035,F-604,2017,630.78,488.85,604.5,1063.56,1018.01,1018.01,1512.12,3651.5,3285.3,2123.62,1578.7,1548.91,800,24000,
W200920036,F-605,2017,2342.55,855.6,1093.65,4781.7,1500.75,5978.85,4433.25,8907.9,13417.05,12561.45,8566.35,9860.1,850,25500,
W200920037,F-606,2017,1880.83,1586.01,3051.1,4359.29,5247.74,7410.4,5635.5,5573.54,4049.48,2354.54,3849.61,2515.44,800,24000,
W201020012,F-616,2017,11448.07,14075.07,15951.5,21439.59,20165.1,24545.91,22219.89,15412.72,4087.27,15282.67,10716.08,5142.53,900,27000,
W201020013,F-615,2017,9025.44,9170.35,8397.48,8958.55,8378.9,9166.63,9185.21,10359.37,9883.76,10069.55,10578.6,10593.46,800,24000,
W201020015,F-617,2017,4269.87,4397.81,4136.81,7157.96,6709.3,11016.7,9332.98,9332.98,0.0,4665.64,5163.76,5112.58,800,24000,
W201020025,F-627,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,18000,
W201120016,F-625,2017,15017.33,17765.78,16814.49,27385.35,25568.11,28679.26,25959.67,25824.13,22905.0,20477.83,21435.4,21282.29,800,24000,
W201120017,F-626,2017,1713.6,2881.6,4993.6,8795.2,9094.4,10488.0,8182.4,8140.8,7712.0,4308.8,3140.8,1424.0,950,28500,
W201220032,F-636,2017,6223.77,4885.65,6408.99,11392.92,9867.69,12362.49,13530.51,0.0,12305.79,10287.27,8618.4,6872.04,700,21000,
W201220033,F-634,2017,18452.5,15292.2,7989.3,12105.5,12549.9,16292.1,14085.5,7883.7,6579.1,4747.6,4681.6,4327.4,800,24000,
W201220034,F-632,2017,378.14,716.73,2392.41,348.48,2209.52,1584.23,556.09,1154.19,5303.84,7112.98,8608.23,3598.5,900,27000,
W201220035,F-633,2017,1928.24,1260.19,1038.52,4336.26,1251.08,6428.48,1624.58,3643.92,5581.27,12273.94,9811.25,11621.07,800,24000,
W201220040,F-622,2017,1076.32,110.67,0.0,2621.36,8.68,3875.62,6.51,601.09,3131.31,14363.23,8204.77,13191.43,1000,30000,
W201220041,F-624,2017,1706.99,258.74,0.0,5215.05,171.37,4630.38,0.0,0.0,2254.7,12002.69,8847.45,10235.22,1200,36000,
W201220056,F-635,2017,734.16,1153.68,2489.52,2837.28,5917.44,8743.68,5707.68,1909.92,2351.52,1738.8,1600.8,899.76,600,18000,
W201320008,F-647,2017,1148.06,720.62,1345.34,5247.1,1131.62,3718.18,1043.94,2364.62,2594.78,8091.22,5578.64,6510.24,900,24000,
W201320016,F-648,2017,245.1,276.45,2903.2,11331.6,11346.8,11593.8,12653.05,12418.4,7123.1,995.6,56.05,1393.65,700,24000,
W201320017,F-650,2017,5279.04,5441.16,4996.87,5334.23,4899.6,5145.89,4934.09,5539.81,4490.49,2487.74,2762.32,2695.4,700,24000,
W201320018,F-649,2017,11215.69,12589.57,12383.74,20940.88,18760.86,23808.69,21757.31,18338.92,25589.07,8675.48,7934.52,8275.84,900,24000,
W201320024,F-623,2017,149.1,0.0,0.0,621.79,0.0,2163.58,0.0,0.0,63.45,9139.71,6078.34,3540.41,1000,30000,
W201420006,F-651,2017,2124.84,2178.35,5739.32,6882.0,8663.35,7684.65,7489.6,14934.31,23835.87,31076.9,30457.23,34076.89,600,27000,
W201420013,F-655,2017,805.99,623.66,722.5,1180.87,637.3,1710.82,1467.14,2472.5,1448.4,2971.78,3416.52,4899.0,900,27000,
W201420017,F-656,2017,11510.8,117.6,145.6,305.2,1128.4,1274.0,806.4,6210.4,10959.2,9800.0,9699.2,7520.8,900,27000,
W201420022,F-657,2017,3237.31,2900.29,4004.51,8019.98,7413.07,9843.45,9532.46,8235.07,6976.04,5930.73,5415.61,5762.22,900,27000,
W201520003,F-658,2017,842.5,1320.5,1342.0,2472.0,1634.0,2969.0,2503.5,1806.5,1827.5,1196.5,1390.0,1002.0,700,21000,
W201620009,F-662,2017,0.0,199.5,7644.0,15081.5,16600.5,21969.5,15316.0,21322.0,14612.5,9642.5,13629.0,9005.5,600,18000,
W201620010,F-663,2017,103.5,105.0,2359.5,1107.0,2103.0,3565.5,1780.5,4389.0,3036.0,1588.5,1509.0,1512.0,700,21000,
